OBJECTID,Type,Provider,Latitude,Longitude,X,Y,Location_T,City,Borough Name
821,Limited Free,SPECTRUM,40.771442,-73.988109,987543.6132,220334.1339,Indoor,New York,Manhattan
822,Limited Free,SPECTRUM,40.771442,-73.988109,987543.6132,220334.1339,Indoor,New York,Manhattan
823,Limited Free,SPECTRUM,40.771442,-73.988109,987543.6132,220334.1339,Indoor,New York,Manhattan
824,Limited Free,SPECTRUM,40.771442,-73.988109,987543.6132,220334.1339,Indoor,New York,Manhattan
825,Limited Free,SPECTRUM,40.59205,-74.139087,945621.4109,155006.86,Outdoor TWC Aerial,Staten Island,Staten Island
826,Limited Free,SPECTRUM,40.591904,-74.138573,945764.0796,154953.4424,Outdoor TWC Aerial,Staten Island,Staten Island
827,Limited Free,SPECTRUM,40.592023,-74.138056,945907.7345,154996.5703,Outdoor TWC Aerial,Staten Island,Staten Island
828,Limited Free,SPECTRUM,40.591847,-74.139153,945602.9631,154932.9313,Indoor,Staten Island,Staten Island
829,Limited Free,SPECTRUM,40.59203,-74.13812,945889.9638,154999.1487,Indoor,Staten Island,Staten Island
830,Limited Free,SPECTRUM,40.71996,-73.981478,989384.2578,201577.9128,Indoor,New York,Manhattan
831,Limited Free,SPECTRUM,40.720102,-73.981299,989433.8653,201629.6581,Outdoor,New York,Manhattan
832,Free,Downtown Brooklyn,40.689319,-73.987162,987810.3016,190414.1966,Outdoor,Brooklyn,Brooklyn
833,Free,Downtown Brooklyn,40.689319,-73.987162,987810.3016,190414.1966,Outdoor,Brooklyn,Brooklyn
834,Free,Downtown Brooklyn,40.689319,-73.987162,987810.3016,190414.1966,Outdoor,Brooklyn,Brooklyn
835,Limited Free,ALTICEUSA,40.702978,-73.924737,1005118.052,195399.2779,Outdoor,Brooklyn,Brooklyn
836,Limited Free,ALTICEUSA,40.703308,-73.924087,1005298.172,195519.6622,Outdoor,Brooklyn,Brooklyn
